Numero;Sexo;Level;HP;Ataque;Defesa;AtaqueEspecial;DefesaEspecial;Rapidez
1;M;1;45;49;49;65;65;45
1;M;50;152;111;111;128;128;106
1;M;100;294;216;216;251;251;207
1;F;1;45;49;49;65;65;45
1;F;50;152;111;111;128;128;106
1;F;100;294;216;216;251;251;207
2;M;1;60;62;63;80;80;60
2;M;50;167;125;126;145;145;123
2;M;100;324;245;247;284;284;240
2;F;1;60;62;63;80;80;60
2;F;50;167;125;126;145;145;123
2;F;100;324;245;247;284;284;240
3;M;1;80;82;83;100;100;80
3;M;50;187;147;148;167;167;145
3;M;100;364;289;291;328;328;284
3;F;1;80;82;83;100;100;80
3;F;50;187;147;148;167;167;145
3;F;100;364;289;291;328;328;284
4;M;1;39;52;43;60;50;65
4;M;50;146;114;104;123;112;128
4;M;100;282;223;203;240;218;251
4;F;1;39;52;43;60;50;65
4;F;50;146;114;104;123;112;128
4;F;100;282;223;203;240;218;251
5;M;1;58;64;58;80;65;80
5;M;50;165;127;121;145;128;145
5;M;100;320;249;236;284;251;284
5;F;1;58;64;58;80;65;80
5;F;50;165;127;121;145;128;145
5;F;100;320;249;236;284;251;284
6;M;1;78;84;78;109;85;100
6;M;50;185;149;143;177;150;167
6;M;100;360;293;280;348;295;328
6;F;1;78;84;78;109;85;100
6;F;50;185;149;143;177;150;167
6;F;100;360;293;280;348;295;328
7;M;1;44;48;65;50;64;43
7;M;50;151;110;128;112;127;104
7;M;100;292;214;251;218;249;203
7;F;1;44;48;65;50;64;43
7;F;50;151;110;128;112;127;104
7;F;100;292;214;251;218;249;203
8;M;1;59;63;80;65;80;58
8;M;50;166;126;145;128;145;121
8;M;100;322;247;284;251;285;236
8;F;1;59;63;80;65;80;58
8;F;50;166;126;145;128;145;121
8;F;100;322;247;284;251;285;236
9;M;1;79;83;100;85;105;78
9;M;50;186;148;167;150;172;143
9;M;100;362;291;328;295;339;280
9;F;1;79;83;100;85;105;78
9;F;50;186;148;167;150;172;143
9;F;100;362;291;328;295;339;280
10;M;1;45;30;35;20;20;45
10;M;50;152;90;95;79;79;106
10;M;100;294;174;185;152;152;207
10;F;1;45;30;35;20;20;45
10;F;50;152;90;95;79;79;106
10;F;100;294;174;185;152;152;207
11;M;1;50;20;55;25;25;30
11;M;50;157;79;117;84;84;90
11;M;100;304;152;229;163;163;174
11;F;1;50;20;55;25;25;30
11;F;50;157;79;117;84;84;90
11;F;100;304;152;229;163;163;174
12;M;1;60;45;50;90;80;70
12;M;50;167;106;112;145;145;134
12;M;100;324;207;218;284;284;262
12;F;1;60;45;50;90;80;70
12;F;50;167;106;112;145;145;134
12;F;100;324;207;218;284;284;262
13;M;1;40;35;30;20;20;50
13;M;50;147;95;90;79;79;112
13;M;100;284;185;174;152;152;218
13;F;1;40;35;30;20;20;50
13;F;50;147;95;90;79;79;112
13;F;100;284;185;174;152;152;218
14;M;1;45;25;50;25;25;35
14;M;50;152;84;112;84;84;95
14;M;100;294;163;218;163;163;185
14;F;1;45;25;50;25;25;35
14;F;50;152;84;112;84;84;95
14;F;100;294;163;218;163;163;185
15;M;1;65;90;40;45;80;75
15;M;50;172;156;101;106;145;139
15;M;100;334;306;196;207;284;273
15;F;1;65;90;40;45;80;75
15;F;50;172;156;101;106;145;139
15;F;100;334;306;196;207;284;273
16;M;1;40;45;40;35;35;56
16;M;50;147;106;101;95;95;118
16;M;100;284;207;196;185;185;232
16;F;1;40;45;40;35;35;56
16;F;50;147;106;101;95;95;118
16;F;100;284;207;196;185;185;232
17;M;1;63;60;55;50;50;71
17;M;50;170;123;117;112;112;135
17;M;100;330;240;229;218;218;265
17;F;1;63;60;55;50;50;71
17;F;50;170;123;117;112;112;135
17;F;100;330;240;229;218;218;265
18;M;1;83;80;75;70;70;101
18;M;50;190;145;139;134;134;168
18;M;100;370;284;273;262;262;331
18;F;1;83;80;75;70;70;101
18;F;50;190;145;139;134;134;168
18;F;100;370;284;273;262;262;331
19;M;1;30;56;35;25;35;72
19;M;50;137;118;95;84;95;136
19;M;100;264;232;185;163;185;267
19;F;1;30;56;35;25;35;72
19;F;50;137;118;95;84;95;136
19;F;100;264;232;185;163;185;267
20;M;1;55;81;60;50;70;97
20;M;50;162;146;123;112;134;163
20;M;100;314;287;240;218;262;322
20;F;1;55;81;60;50;70;97
20;F;50;162;146;123;112;134;163
20;F;100;314;287;240;218;262;322
21;M;1;40;60;30;31;31;70
21;M;50;147;123;90;91;91;134
21;M;100;284;240;174;177;177;262
21;F;1;40;60;30;31;31;70
21;F;50;147;123;90;91;91;134
21;F;100;284;240;174;177;177;262
22;M;1;65;90;65;61;61;100
22;M;50;172;156;128;124;124;167
22;M;100;334;306;251;243;243;328
22;F;1;65;90;65;61;61;100
22;F;50;172;156;128;124;124;167
22;F;100;334;306;251;243;243;328
23;M;1;35;60;44;40;54;55
23;M;50;142;123;105;101;116;117
23;M;100;274;240;205;196;227;229
23;F;1;35;60;44;40;54;55
23;F;50;142;123;105;101;116;117
23;F;100;274;240;205;196;227;229
24;M;1;60;95;69;65;79;80
24;M;50;167;161;133;128;144;145
24;M;100;324;317;260;251;282;284
24;F;1;60;95;69;65;79;80
24;F;50;167;161;133;128;144;145
24;F;100;324;317;260;251;282;284
25;M;1;35;55;40;50;50;90
25;M;50;142;117;101;112;112;156
25;M;100;274;229;196;218;218;306
25;F;1;35;55;40;50;50;90
25;F;50;142;117;101;112;112;156
25;F;100;274;229;196;218;218;306
26;M;1;60;90;55;90;80;110
26;M;50;167;156;117;156;145;167
26;M;100;324;306;229;306;284;328
26;F;1;60;90;55;90;80;110
26;F;50;167;156;117;156;145;167
26;F;100;324;306;229;306;284;328
27;M;1;50;75;85;20;30;40
27;M;50;157;139;150;79;90;101
27;M;100;304;273;295;152;174;196
27;F;1;50;75;85;20;30;40
27;F;50;157;139;150;79;90;101
27;F;100;304;273;295;152;174;196
28;M;1;75;100;110;45;55;65
28;M;50;182;167;178;106;117;128
28;M;100;354;328;350;207;229;251
28;F;1;75;100;110;45;55;65
28;F;50;182;167;178;106;117;128
28;F;100;354;328;350;207;229;251
29;M;1;55;47;52;40;40;41
29;M;50;162;108;114;101;101;102
29;M;100;314;212;223;196;196;199
29;F;1;55;47;52;40;40;41
29;F;50;162;108;114;101;101;102
29;F;100;314;212;223;196;196;199
30;F;1;70;62;67;55;55;56
30;F;50;177;125;130;117;117;118
30;F;100;344;245;256;229;229;232
31;F;1;90;92;87;75;85;76
31;F;50;197;158;152;139;150;140
31;F;100;384;311;300;273;295;276
32;F;1;46;57;40;40;40;50
32;F;50;153;119;101;101;101;112
32;F;100;296;234;196;196;196;218
33;M;1;61;72;57;55;55;65
33;M;50;168;136;119;117;117;128
33;M;100;326;267;234;229;229;251
34;M;1;81;102;77;85;75;85
34;M;50;188;169;141;150;139;150
34;M;100;366;333;278;295;273;295
35;M;1;70;45;48;60;65;35
35;M;50;177;106;110;123;128;95
35;M;100;344;207;214;240;251;185
36;M;1;95;70;73;95;90;60
36;M;50;202;134;137;161;156;123
36;M;100;394;262;269;317;306;240
36;F;1;95;70;73;95;90;60
36;F;50;202;134;137;161;156;123
36;F;100;394;262;269;317;306;240
37;M;1;38;41;40;50;65;65
37;M;50;145;102;101;112;128;128
37;M;100;280;199;196;218;251;251
