Numero;Habilidade1;Habilidade2;HabilidadeOculta
1;overgrow;;chlorophyll
2;overgrow;;chlorophyll
3;overgrow;;chlorophyll
4;blaze;;solar-power
5;blaze;;solar-power
6;blaze;;solar-power
7;torrent;;rain-dish
8;torrent;;rain-dish
9;torrent;;rain-dish
10;shield-dust;;run-away
11;shed-skin;;
12;compound-eyes;;tinted-lens
13;shield-dust;;run-away
14;shed-skin;;
15;swarm;;sniper
16;keen-eye;tangled-feet;big-pecks
17;keen-eye;tangled-feet;big-pecks
18;keen-eye;tangled-feet;big-pecks
19;run-away;guts;hustle
20;run-away;guts;hustle
21;keen-eye;;sniper
22;keen-eye;;sniper
23;intimidate;shed-skin;unnerve
24;intimidate;shed-skin;unnerve
25;static;;lightning-rod
26;static;;lightning-rod
27;sand-veil;;sand-rush
28;sand-veil;;sand-rush
29;poison-point;rivalry;hustle
30;poison-point;rivalry;hustle
31;poison-point;rivalry;sheer-force
32;poison-point;rivalry;hustle
33;poison-point;rivalry;hustle
34;poison-point;rivalry;sheer-force
35;cute-charm;magic-guard;friend-guard
36;cute-charm;magic-guard;unaware
37;flash-fire;;drought
38;flash-fire;;drought
39;cute-charm;competitive;friend-guard
40;cute-charm;competitive;frisk
41;inner-focus;;infiltrator
42;inner-focus;;infiltrator
43;chlorophyll;;run-away
44;chlorophyll;;stench
45;chlorophyll;;effect-spore
46;effect-spore;dry-skin;damp
47;effect-spore;dry-skin;damp
48;compound-eyes;tinted-lens;run-away
49;shield-dust;tinted-lens;wonder-skin
50;sand-veil;arena-trap;sand-force
51;sand-veil;arena-trap;sand-force
52;pickup;technician;unnerve
53;limber;technician;unnerve
54;damp;cloud-nine;swift-swim
55;damp;cloud-nine;swift-swim
56;vital-spirit;anger-point;defiant
57;vital-spirit;anger-point;defiant
58;intimidate;flash-fire;justified
59;intimidate;flash-fire;justified
60;water-absorb;damp;swift-swim
61;water-absorb;damp;swift-swim
62;water-absorb;damp;swift-swim
63;synchronize;inner-focus;magic-guard
64;synchronize;inner-focus;magic-guard
65;synchronize;inner-focus;magic-guard
66;guts;no-guard;steadfast
67;guts;no-guard;steadfast
68;guts;no-guard;steadfast
69;chlorophyll;;gluttony
70;chlorophyll;;gluttony
71;chlorophyll;;gluttony
72;clear-body;liquid-ooze;rain-dish
73;clear-body;liquid-ooze;rain-dish
74;rock-head;sturdy;sand-veil
75;rock-head;sturdy;sand-veil
76;rock-head;sturdy;sand-veil
77;run-away;flash-fire;flame-body
78;run-away;flash-fire;flame-body
79;oblivious;own-tempo;regenerator
80;oblivious;own-tempo;regenerator
